date_key,day_of_week,is_weekend
2024-03-23,Saturday,true
2024-03-28,Thursday,false
2024-03-25,Monday,false
2024-03-20,Wednesday,false
2024-03-27,Wednesday,false
2024-03-15,Friday,false
2024-03-16,Saturday,true
2024-03-18,Monday,false
2024-03-31,Sunday,true
2024-03-03,Sunday,true
2024-03-22,Friday,false
2024-03-11,Monday,false
2024-03-14,Thursday,false
2024-03-02,Saturday,true
2024-03-26,Tuesday,false
2024-03-01,Friday,false
2024-03-09,Saturday,true
2024-03-08,Friday,false
2024-03-21,Thursday,false
2024-03-24,Sunday,true
2024-03-12,Tuesday,false
2024-03-05,Tuesday,false
2024-03-17,Sunday,true
2024-03-06,Wednesday,false
2024-03-04,Monday,false
2024-03-29,Friday,false
2024-03-30,Saturday,true
2024-03-07,Thursday,false
2024-03-13,Wednesday,false
2024-03-10,Sunday,true
2024-03-19,Tuesday,false
