date_key,temp_max,temp_min,apparent_temp_max,apparent_temp_min,rain,wind_speed,wind_gust,humidity
2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667
2024-03-21,33.5,17.7,35.1,19.3,0.0,8.1,28.4,58.875
2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667
2024-03-28,22.4,15.7,21.2,13.8,0.0,33.1,91.8,79.33333333
2024-03-16,22.0,16.5,20.1,12.8,0.2,35.0,94.0,70.04166667
2024-03-02,25.9,17.5,26.0,14.2,0.0,38.9,106.6,79.29166667
2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5
2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125
2024-03-19,26.8,17.4,27.6,16.0,0.0,29.3,74.9,77.375
2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875
2024-03-01,23.4,15.8,25.7,16.2,0.0,18.0,51.5,83.0
2024-03-26,24.2,15.6,24.0,14.9,0.1,29.2,81.4,78.41666667
2024-03-30,33.8,15.2,34.8,15.1,0.0,17.4,46.8,58.75
2024-03-29,24.3,16.9,23.5,13.6,0.0,30.7,88.9,67.875
2024-03-31,19.4,15.1,19.4,14.9,2.7,22.8,76.0,89.58333333
2024-03-08,23.6,16.7,25.1,17.2,1.7,18.1,55.8,81.125
2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333
2024-03-24,21.5,15.1,20.2,14.5,0.0,20.3,65.9,68.875
2024-03-25,22.3,15.3,22.3,13.9,0.0,21.4,62.3,77.79166667
2024-03-20,34.5,17.8,36.7,18.9,0.0,15.8,43.2,66.5
2024-03-09,24.8,16.8,26.8,16.0,0.0,21.1,57.2,74.875
2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333
2024-03-05,23.0,15.1,23.4,14.8,0.2,14.5,43.2,68.54166667
2024-03-14,24.7,16.5,25.5,15.2,0.0,21.7,56.9,68.20833333
2024-03-23,20.7,14.5,20.2,14.9,0.0,16.0,45.0,72.91666667
2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375
2024-03-06,24.3,14.4,25.4,13.1,0.0,14.2,40.7,67.0
2024-03-13,24.0,15.5,23.0,15.7,0.0,19.9,58.0,66.125
2024-03-22,23.2,15.4,23.6,16.7,2.1,15.8,47.9,85.375
2024-03-15,24.2,12.2,25.9,11.7,0.0,15.3,45.0,78.41666667
2024-03-07,21.8,13.2,20.0,12.9,0.0,24.1,76.0,77.95833333
